Region,Year,Jelenie (odstrzał sztuki),Sarny (odstrzał sztuki),Dziki (odstrzał sztuki)
DOLNOŚLĄSKIE,2014,7013.0,17973.0,30210.0
DOLNOŚLĄSKIE,2015,7607.0,18448.0,38044.0
DOLNOŚLĄSKIE,2016,7788.0,19808.0,32381.0
DOLNOŚLĄSKIE,2017,8969.0,20667.0,39766.0
DOLNOŚLĄSKIE,2018,9087.0,20239.0,33844.0
DOLNOŚLĄSKIE,2019,10510.0,17681.0,40735.0
DOLNOŚLĄSKIE,2020,10419.0,20263.0,28151.0
DOLNOŚLĄSKIE,2021,10696.0,19240.0,23072.0
DOLNOŚLĄSKIE,2022,10891.0,20051.0,17931.0
DOLNOŚLĄSKIE,2023,10719.0,19436.0,18042.0
DOLNOŚLĄSKIE,2024,10258.0,19174.0,17812.0
KUJAWSKO-POMORSKIE,2014,4316.0,10780.0,15262.0
KUJAWSKO-POMORSKIE,2015,4912.0,11301.0,18003.0
KUJAWSKO-POMORSKIE,2016,4872.0,12006.0,15426.0
KUJAWSKO-POMORSKIE,2017,4106.0,11163.0,15831.0
KUJAWSKO-POMORSKIE,2018,3962.0,10537.0,13564.0
KUJAWSKO-POMORSKIE,2019,4150.0,9875.0,19685.0
KUJAWSKO-POMORSKIE,2020,4658.0,10138.0,15414.0
KUJAWSKO-POMORSKIE,2021,4801.0,10233.0,6825.0
KUJAWSKO-POMORSKIE,2022,5263.0,10467.0,9494.0
KUJAWSKO-POMORSKIE,2023,4919.0,9999.0,7949.0
KUJAWSKO-POMORSKIE,2024,4520.0,9458.0,7028.0
LUBELSKIE,2014,2272.0,11623.0,17679.0
LUBELSKIE,2015,2728.0,12718.0,20670.0
LUBELSKIE,2016,3035.0,13539.0,19001.0
LUBELSKIE,2017,3129.0,14985.0,16558.0
LUBELSKIE,2018,3622.0,16133.0,7772.0
LUBELSKIE,2019,3887.0,16718.0,8257.0
LUBELSKIE,2020,4490.0,17613.0,3830.0
LUBELSKIE,2021,2254.0,6137.0,1700.0
LUBELSKIE,2022,5362.0,17647.0,4333.0
LUBELSKIE,2023,6306.0,18511.0,3902.0
LUBELSKIE,2024,7300.0,17691.0,4776.0
LUBUSKIE,2014,5968.0,13657.0,21834.0
LUBUSKIE,2015,6323.0,13216.0,26988.0
LUBUSKIE,2016,5972.0,13010.0,24510.0
LUBUSKIE,2017,5422.0,11159.0,28792.0
LUBUSKIE,2018,5210.0,10023.0,21686.0
LUBUSKIE,2019,5714.0,8671.0,28590.0
LUBUSKIE,2020,5781.0,9202.0,18905.0
LUBUSKIE,2021,6043.0,9762.0,4648.0
LUBUSKIE,2022,5400.0,9032.0,5374.0
