Region,Year,Jelenie (tony),Sarny (tony),Dziki (tony)
REGION DOLNOŚLĄSKIE,2014,473.0,266.0,354.0
REGION DOLNOŚLĄSKIE,2015,466.0,247.0,548.0
REGION DOLNOŚLĄSKIE,2016,535.0,285.0,541.0
REGION DOLNOŚLĄSKIE,2017,504.0,271.0,620.0
REGION DOLNOŚLĄSKIE,2018,575.0,269.0,443.0
REGION DOLNOŚLĄSKIE,2019,637.0,285.0,725.0
REGION DOLNOŚLĄSKIE,2020,711.0,302.0,583.0
REGION DOLNOŚLĄSKIE,2021,711.0,291.0,405.0
REGION DOLNOŚLĄSKIE,2022,791.0,285.0,379.0
REGION DOLNOŚLĄSKIE,2023,826.0,316.0,424.0
REGION DOLNOŚLĄSKIE,2024,606.0,253.0,302.0
REGION KUJAWSKO-POMORSKIE,2014,256.0,132.0,119.0
REGION KUJAWSKO-POMORSKIE,2015,279.0,136.0,226.0
REGION KUJAWSKO-POMORSKIE,2016,299.0,149.0,228.0
REGION KUJAWSKO-POMORSKIE,2017,294.0,141.0,237.0
REGION KUJAWSKO-POMORSKIE,2018,286.0,148.0,199.0
REGION KUJAWSKO-POMORSKIE,2019,295.0,145.0,259.0
REGION KUJAWSKO-POMORSKIE,2020,294.0,135.0,246.0
REGION KUJAWSKO-POMORSKIE,2021,261.0,137.0,154.0
REGION KUJAWSKO-POMORSKIE,2022,185.0,73.0,132.0
REGION KUJAWSKO-POMORSKIE,2023,150.0,73.0,92.0
REGION KUJAWSKO-POMORSKIE,2024,139.0,71.0,105.0
REGION LUBELSKIE,2014,58.0,89.0,76.0
REGION LUBELSKIE,2015,67.0,80.0,85.0
REGION LUBELSKIE,2016,107.0,95.0,84.0
REGION LUBELSKIE,2017,120.0,90.0,101.0
REGION LUBELSKIE,2018,262.0,179.0,132.0
REGION LUBELSKIE,2019,177.0,182.0,72.0
REGION LUBELSKIE,2020,102.0,78.0,21.0
REGION LUBELSKIE,2021,68.0,76.0,12.0
REGION LUBELSKIE,2022,173.0,97.0,20.0
REGION LUBELSKIE,2023,174.0,96.0,21.0
REGION LUBELSKIE,2024,159.0,82.0,14.0
REGION LUBUSKIE,2014,451.0,204.0,369.0
REGION LUBUSKIE,2015,478.0,189.0,547.0
REGION LUBUSKIE,2016,378.0,150.0,489.0
REGION LUBUSKIE,2017,448.0,177.0,574.0
REGION LUBUSKIE,2018,295.0,112.0,302.0
REGION LUBUSKIE,2019,323.0,102.0,393.0
REGION LUBUSKIE,2020,381.0,130.0,222.0
REGION LUBUSKIE,2021,367.0,137.0,51.0
