Region,Year,Jelenie (tys zł),Sarny (tys zł),Dziki (tys zł),Jelenie (tony),Sarny (tony),Dziki (tony),Jelenie (odstrzał sztuki),Sarny (odstrzał sztuki),Dziki (odstrzał sztuki),Jelenie (ogółem tys. sztuk),Sarny (ogółem tys. sztuk),Dziki (ogółem tys. sztuk),Powierzchnia pożarów lasów (ha),Forest Lands - Grunty zalesione (ha),Forest Lands - Grunty niezalesione (ha),Powierzchnia lasów ogółem (ha)
REGION DOLNOŚLĄSKIE,2014,3564.1,3711.1,1439.4,473.0,266.0,354.0,7013.0,17973.0,30210.0,17.1,83.9,27.9,414.85,,,592815.56
REGION DOLNOŚLĄSKIE,2015,3847.4,3625.1,2648.0,466.0,247.0,548.0,7607.0,18448.0,38044.0,15.1,82.5,23.1,238.62,,,593385.48
REGION DOLNOŚLĄSKIE,2016,4915.7,4655.0,2974.6,535.0,285.0,541.0,7788.0,19808.0,32381.0,15.6,85.1,22.4,125.54,,,594968.12
REGION DOLNOŚLĄSKIE,2017,4875.6,3759.7,2678.4,504.0,271.0,620.0,8969.0,20667.0,39766.0,32.7,80.7,29.9,40.86,580912.31,13897.32,594809.63
REGION DOLNOŚLĄSKIE,2018,5493.7,3456.5,1289.2,575.0,269.0,443.0,9087.0,20239.0,33844.0,29.4,79.0,19.4,485.15,581220.72,13832.97,595053.69
REGION DOLNOŚLĄSKIE,2019,5621.1,3789.4,2754.0,637.0,285.0,725.0,10510.0,17681.0,40735.0,27.8,75.6,11.1,117.45,580812.35,14218.29,595030.64
REGION DOLNOŚLĄSKIE,2020,4095.3,2735.5,1638.5,711.0,302.0,583.0,10419.0,20263.0,28151.0,30.1,73.0,15.2,132.98,581456.97,14113.09,595570.06
REGION DOLNOŚLĄSKIE,2021,5223.7,3929.4,1556.0,711.0,291.0,405.0,10696.0,19240.0,23072.0,25.4,74.9,10.6,35.26,583111.79,13707.43,596819.22
REGION DOLNOŚLĄSKIE,2022,7691.7,5262.5,2314.0,791.0,285.0,379.0,10891.0,20051.0,17931.0,27.2,72.5,8.2,218.49,583390.77,13996.73,597387.5
REGION DOLNOŚLĄSKIE,2023,7270.2,6243.2,3702.7,826.0,316.0,424.0,10719.0,19436.0,18042.0,24.8,69.8,6.4,58.65,583999.29,14036.02,598035.31
