,count,mean,std,min,25%,50%,75%,max
Jelenie (odstrzał sztuki),176.0,6115.65,4194.77,388.0,3165.0,5085.5,8391.5,20447.0
Jelenie (ogółem tys. sztuk),176.0,16.52,10.53,3.1,9.38,12.6,23.7,48.8
Srednia_masa_jeleni,176.0,54.67,17.24,14.84,43.34,56.62,66.54,109.68
Sarny (odstrzał sztuki),176.0,12440.46,5022.89,1944.0,8717.5,11774.5,16261.25,25344.0
Sarny (ogółem tys. sztuk),176.0,56.37,21.1,20.7,42.38,52.65,71.2,108.1
Srednia_masa_saren,176.0,11.4,4.17,2.09,8.03,11.93,14.15,29.79
Dziki (odstrzał sztuki),176.0,15834.64,11234.4,1432.0,7794.5,12611.5,20568.0,59290.0
Dziki (ogółem tys. sztuk),176.0,8.43,8.12,1.1,2.4,5.5,11.12,38.5
Srednia_masa_dzikow,176.0,11.51,8.54,0.49,5.03,9.31,15.87,47.16
Powierzchnia pożarów lasów (ha),176.0,179.5,478.98,3.61,45.29,92.36,190.46,6008.86
